type,上海,北京,杭州,宁波,保定,南京,苏州,深圳,厦门,广州,date
PM2.5,10.666666666666666,19.33333333333333,10.4,9.933333333333334,24.73333333333333,17.0,12.733333333333333,11.733333333333333,11.8,10.266666666666667,2019-09-01
AQI,46.59090909090909,91.23809523809523,80.95454545454545,60.54545454545455,92.0909090909091,67.5,54.95454545454545,80.9090909090909,35.68181818181818,87.77272727272727,2019-09-29
NO2,33.36363636363637,30.66666666666667,53.72727272727273,46.0,58.31818181818182,49.27272727272727,35.81818181818182,29.59090909090909,13.636363636363635,60.77272727272727,2019-09-29
PM2.5,30.95454545454545,60.523809523809526,50.95454545454545,39.68181818181818,55.68181818181818,38.22727272727273,36.13636363636363,47.54545454545455,17.636363636363637,54.95454545454545,2019-09-29
AQI,55.5,56.20833333333334,60.75,75.75,59.45833333333334,38.04166666666666,51.16666666666666,36.91666666666666,39.083333333333336,48.41666666666666,2019-05-18
NO2,39.333333333333336,25.16666666666667,31.91666666666667,41.25,18.916666666666668,16.666666666666668,33.375,17.375,25.70833333333333,27.375,2019-05-18
PM2.5,38.083333333333336,36.75,36.79166666666666,39.625,33.25,12.041666666666664,29.91666666666667,20.291666666666668,24.45833333333333,22.08333333333333,2019-05-18
AQI,53.41666666666666,60.54166666666666,55.33333333333334,50.66666666666666,80.20833333333333,53.04166666666666,53.625,42.91666666666666,53.33333333333334,34.833333333333336,2019-05-30
NO2,46.70833333333334,22.83333333333333,45.75,32.75,19.166666666666668,36.125,64.79166666666667,14.458333333333336,14.916666666666664,40.25,2019-05-30
PM2.5,23.95833333333333,19.916666666666668,26.75,14.625,19.666666666666668,22.875,29.41666666666667,17.291666666666668,19.291666666666668,20.33333333333333,2019-05-30
AQI,92.29166666666669,99.91666666666669,83.125,76.08333333333333,86.875,100.04166666666669,97.95833333333331,49.66666666666666,50.125,46.08333333333334,2019-05-24
NO2,39.625,51.33333333333334,42.29166666666666,23.58333333333333,24.25,40.79166666666666,40.458333333333336,14.166666666666664,25.33333333333333,36.125,2019-05-24
PM2.5,35.958333333333336,44.58333333333334,35.666666666666664,23.625,26.66666666666667,47.58333333333334,47.75,28.08333333333333,25.375,24.95833333333333,2019-05-24
AQI,55.79166666666666,68.54166666666667,64.33333333333333,55.33333333333334,86.83333333333331,61.91666666666666,58.54166666666666,37.958333333333336,43.75,22.25,2019-05-08
NO2,29.375,43.45833333333334,33.333333333333336,26.95833333333333,36.375,44.79166666666666,39.54166666666666,26.95833333333333,25.125,39.375,2019-05-08
PM2.5,16.291666666666668,43.33333333333334,27.16666666666667,18.0,53.5,20.291666666666668,20.791666666666668,18.95833333333333,16.916666666666668,10.291666666666666,2019-05-08
AQI,66.33333333333333,48.33333333333334,67.75,49.70833333333334,47.45833333333334,69.04166666666667,65.375,42.16666666666666,44.875,38.833333333333336,2019-05-20
NO2,35.291666666666664,15.541666666666664,30.04166666666667,27.45833333333333,15.416666666666664,21.125,29.45833333333333,24.625,17.166666666666668,24.0,2019-05-20
PM2.5,29.04166666666667,12.0,25.25,16.875,10.875,20.375,20.041666666666668,21.75,28.70833333333333,13.666666666666664,2019-05-20
AQI,22.875,82.91666666666667,35.208333333333336,22.75,71.41666666666667,38.54166666666666,26.875,20.416666666666668,19.5,22.91666666666667,2019-09-05
NO2,33.25,31.875,31.5,29.83333333333333,30.33333333333333,38.29166666666666,36.75,18.416666666666668,12.208333333333336,27.5,2019-09-05
PM2.5,12.75,45.875,19.58333333333333,11.916666666666664,34.625,22.83333333333333,14.041666666666664,8.833333333333334,8.083333333333334,11.041666666666664,2019-09-05
AQI,49.8695652173913,27.52173913043478,72.30434782608695,42.34782608695652,34.13043478260869,43.34782608695652,58.43478260869565,29.04347826086957,34.34782608695652,59.26086956521739,2019-09-11
NO2,27.56521739130435,30.17391304347826,37.130434782608695,22.52173913043478,33.43478260869565,28.82608695652174,32.39130434782609,19.08695652173913,15.652173913043477,38.34782608695652,2019-09-11
